"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_002E","B28001_002M","B28001_003E","B28001_003M","B28001_004E","B28001_004M","B28001_005E","B28001_005M","B28001_006E","B28001_006M","B28001_007E","B28001_007M","B28001_008E","B28001_008M","B28001_009E","B28001_009M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!Desktop or laptop","Margin of Error!!Total!!Has a computer!!Desktop or laptop","Estimate!!Total!!Has a computer!!Desktop or laptop!!Desktop or laptop alone","Margin of Error!!Total!!Has a computer!!Desktop or laptop!!Desktop or laptop alone","Estimate!!Total!!Has a computer!!Handheld computer","Margin of Error!!Total!!Has a computer!!Handheld computer","Estimate!!Total!!Has a computer!!Handheld computer!!Handheld computer alone","Margin of Error!!Total!!Has a computer!!Handheld computer!!Handheld computer alone","Estimate!!Total!!Has a computer!!Other computer","Margin of Error!!Total!!Has a computer!!Other computer","Estimate!!Total!!Has a computer!!Other computer!!Other computer alone","Margin of Error!!Total!!Has a computer!!Other computer!!Other computer alone","Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer"
"0400000US41","Oregon","1553205","7348","1408415","8392","1303663","9070","206663","6719","1193061","10826","97755","4702","76113","4417","3106","894","144790","5214"
"0400000US42","Pennsylvania","4956037","11868","4190794","17458","3833679","17935","691078","11171","3466390","17670","331541","8700","275806","7835","8633","1176","765243","11441"
"0400000US44","Rhode Island","407484","4045","352538","5115","319120","5718","51870","3008","298638","5485","30677","2893","22477","2759","571","303","54946","3985"
"0400000US45","South Carolina","1857768","9376","1549918","9801","1356582","10885","196941","6623","1338716","11102","174381","7342","167393","8271","4026","993","307850","7371"
"0400000US46","South Dakota","339437","2931","288536","4259","261804","4735","50474","2674","235738","4484","24664","2344","18003","1733","1164","492","50901","2836"
"0400000US47","Tennessee","2530260","10743","2084955","14919","1826411","15893","274676","7516","1797840","14352","241062","7741","165094","6459","3599","900","445305","8868"
"0400000US48","Texas","9421412","21122","8164910","25310","7111157","31414","823420","15403","7268121","24973","992334","18644","665727","16435","15137","2244","1256502","14950"
"0400000US49","Utah","930980","5092","867777","6406","802436","7092","81468","3906","782844","6899","62699","4238","43803","2749","750","337","63203","3784"
"0400000US50","Vermont","254865","3016","221855","3434","209866","3490","47331","2417","171928","3641","9966","1179","14996","1894","814","395","33010","2331"
"0400000US51","Virginia","3106895","11857","2741793","14735","2516436","16084","321620","7888","2399576","14290","210064","8135","196323","7961","5158","1021","365102","8877"
"0400000US53","Washington","2728573","8477","2494678","11248","2334092","10990","309223","7137","2170960","12896","141632","6995","186775","7334","4848","1163","233895","7861"
"0400000US54","West Virginia","734536","5346","584679","6747","520431","6981","111948","4300","464527","6737","59966","4135","47773","3688","1554","507","149857","5056"
"0400000US55","Wisconsin","2319538","7046","2003599","9112","1829055","10903","327570","7445","1662185","9713","163545","5870","92372","3631","5146","768","315939","6636"
"0400000US56","Wyoming","228937","3666","205681","3481","188496","3795","30396","2296","173837","3763","16566","2261","11428","1705","422","336","23256","2015"
"0400000US72","Puerto Rico","1221851","9077","722010","9738","532798","9110","118856","4749","593065","8364","172311","6162","75375","4245","6075","1179","499841","8134"
