"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_002E","B28001_002M","B28001_003E","B28001_003M","B28001_004E","B28001_004M","B28001_005E","B28001_005M","B28001_006E","B28001_006M","B28001_007E","B28001_007M","B28001_008E","B28001_008M","B28001_009E","B28001_009M"
"0400000US40","Oklahoma","1447277","6526","1175213","7285","1057785","7416","263225","5160","901143","7826","110253","4319","85381","4014","2040","489","272064","5120"
"0400000US41","Oregon","1523799","7789","1336344","8304","1271244","8600","335046","7437","991051","8799","61734","3939","61390","3788","1940","689","187455","6069"
"0400000US42","Pennsylvania","4938894","14403","4019167","17436","3800664","18034","1093515","12534","2900022","17447","208517","6523","185806","6014","5294","1053","919727","11600"
"0400000US44","Rhode Island","406366","4030","339384","4811","322262","5037","80891","3913","255789","5286","15662","2233","18190","1932","951","428","66982","4145"
"0400000US45","South Carolina","1794989","10191","1431872","11353","1312553","12103","342100","8918","1078778","11632","112728","6448","91185","5040","2691","894","363117","8896"
"0400000US46","South Dakota","331406","2992","272941","3986","258278","4175","82653","3702","186808","4306","13731","1758","18821","2184","591","337","58465","2770"
"0400000US47","Tennessee","2490249","12758","1972816","14080","1812974","15143","478171","9584","1482409","14518","153679","6517","92360","5184","2812","796","517433","8669"
"0400000US48","Texas","9110853","20640","7635470","23882","6957309","27417","1355135","17811","6195075","24841","635481","14027","577731","14275","15733","2298","1475383","17735"
"0400000US49","Utah","899475","5032","821406","6053","787087","6884","156453","5194","659358","6886","33100","3031","43694","3115","633","302","78069","3157"
"0400000US50","Vermont","253234","2792","216397","3397","208294","3081","70537","2859","143064","3522","7347","1282","12514","1319","363","240","36837","2119"
"0400000US51","Virginia","3055863","11608","2609849","14174","2481516","14910","555222","9048","2034071","12813","122308","5790","179411","6404","4101","975","446014","10160"
"0400000US53","Washington","2644557","11069","2335862","13237","2233550","13637","540725","9738","1775492","12658","94731","5850","161999","6301","2525","625","308695","9368"
"0400000US54","West Virginia","738653","5969","556591","7074","517716","7108","170138","5142","380583","8095","37158","2895","29131","2551","753","310","182062","5288"
"0400000US55","Wisconsin","2289424","8727","1902949","10662","1802391","10664","550303","10677","1337657","10800","95548","4162","79127","3486","2959","720","386475","8637"
"0400000US56","Wyoming","224003","3223","196931","3728","185272","4270","54541","3163","140404","4121","10932","1792","12017","1588","372","236","27072","2057"
"0400000US72","Puerto Rico","1253690","9187","712103","8919","602666","9254","223057","6116","479828","8278","102646","5786","49569","4044","2889","857","541587","8480"
