"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_002E","B28001_002M","B28001_003E","B28001_003M","B28001_004E","B28001_004M","B28001_005E","B28001_005M","B28001_006E","B28001_006M","B28001_007E","B28001_007M","B28001_008E","B28001_008M","B28001_009E","B28001_009M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has a computer","Margin of Error!!Total!!Has a computer","Estimate!!Total!!Has a computer!!Desktop or laptop","Margin of Error!!Total!!Has a computer!!Desktop or laptop","Estimate!!Total!!Has a computer!!Desktop or laptop!!Desktop or laptop alone","Margin of Error!!Total!!Has a computer!!Desktop or laptop!!Desktop or laptop alone","Estimate!!Total!!Has a computer!!Handheld computer","Margin of Error!!Total!!Has a computer!!Handheld computer","Estimate!!Total!!Has a computer!!Handheld computer!!Handheld computer alone","Margin of Error!!Total!!Has a computer!!Handheld computer!!Handheld computer alone","Estimate!!Total!!Has a computer!!Other computer","Margin of Error!!Total!!Has a computer!!Other computer","Estimate!!Total!!Has a computer!!Other computer!!Other computer alone","Margin of Error!!Total!!Has a computer!!Other computer!!Other computer alone","Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer"
"0400000US01","Alabama","1841217","10615","1443947","13508","1267342","13233","266755","7315","1168630","12059","167943","6474","86598","5588","2285","495","397270","9047"
"0400000US02","Alaska","249659","2978","228449","3326","210766","3543","29453","2288","196890","3648","15894","1937","23051","2108","326","134","21210","1862"
"0400000US04","Arizona","2428743","11353","2077189","13380","1919370","12544","381005","8550","1681809","14013","151183","6456","121607","6087","2685","680","351554","8256"
"0400000US05","Arkansas","1131288","8373","895684","9772","778393","9731","165830","5499","725362","10255","111595","5282","45182","3452","1763","587","235604","7920"
"0400000US06","California","12758648","18835","11284856","24791","10420963","26554","1550136","19031","9614295","28139","784181","14573","1104923","16353","25679","3021","1473792","17791"
"0400000US08","Colorado","2039592","7530","1848081","8987","1725696","9944","276940","7985","1560264","11594","112979","5429","127551","4903","2564","741","191511","6287"
"0400000US09","Connecticut","1355817","6673","1181454","7689","1110817","8287","201343","6428","963635","10711","65101","4564","104022","5480","2399","854","174363","5796"
"0400000US10","Delaware","349743","3705","298049","4486","276208","4516","56921","2987","237790","4824","20229","2357","18840","2398","1192","706","51694","3322"
"0400000US11","District of Columbia","277378","3304","235511","3585","218664","3440","23775","2337","210693","3758","15554","1836","16203","2165","364","216","41867","2665"
"0400000US12","Florida","7328046","25793","6288013","27346","5817633","25628","1181624","17023","5052761","28007","435442","12408","440653","10975","12275","1818","1040033","16590"
"0400000US13","Georgia","3587521","13961","3037867","16687","2748194","17123","452716","10834","2563383","18043","271950","9597","222943","8192","6064","1337","549654","10752"
"0400000US15","Hawaii","450769","4870","394078","5337","370858","6175","57087","3490","335017","5413","21569","2158","28349","2388","708","367","56691","2975"
"0400000US16","Idaho","591587","4733","514418","5660","481120","6345","109940","5266","400312","6885","32579","3172","21911","2746","452","283","77169","4145"
"0400000US17","Illinois","4772421","12392","4041286","16489","3726279","17099","656238","10653","3354719","16464","292303","7932","307117","9942","7875","1394","731135","10344"
"0400000US18","Indiana","2502739","10912","2095401","13737","1888718","13924","394009","8895","1684301","14126","193985","6550","135862","5863","3774","911","407338","8788"
"0400000US19","Iowa","1241471","6257","1047955","8681","973713","8716","216349","5251","822391","9089","70074","3850","55682","3820","1974","486","193516","5354"
"0400000US20","Kansas","1109280","6429","943283","8125","865208","8775","171882","5620","765006","7561","73525","4241","50594","3297","1586","518","165997","5420"
"0400000US21","Kentucky","1712094","8632","1366225","11467","1218440","12734","246420","6057","1107731","10684","137223","6367","92071","4804","2975","812","345869","7943"
"0400000US22","Louisiana","1718194","10232","1352695","11056","1182155","12955","205136","7594","1132254","12162","162545","7272","105383","4945","2003","553","365499","7835"
"0400000US23","Maine","549841","5205","468666","5287","441348","5450","124535","4601","338351","5277","23857","2224","27131","2496","1576","518","81175","3317"
"0400000US24","Maryland","2165438","8230","1922849","10983","1799246","11856","270310","7129","1639910","11985","110560","4922","173890","6009","3440","1031","242589","7929"
"0400000US25","Massachusetts","2549336","9145","2223716","10319","2099835","11838","371636","7716","1837288","11610","113138","4835","155391","6478","3739","931","325620","7008"
"0400000US26","Michigan","3834574","12574","3239764","13747","2967620","14023","618108","8842","2597471","13526","255947","6825","163740","5446","7182","1216","594810","8925"
"0400000US27","Minnesota","2129195","6975","1863278","9170","1754616","10362","326873","6495","1523620","9566","101676","4132","103030","4292","3032","599","265917","6277"
"0400000US28","Mississippi","1095823","8793","833256","9577","703857","10418","138396","5364","690097","9212","122639","6218","53996","3536","1090","454","262567","7969"
"0400000US29","Missouri","2354809","12290","1957675","13622","1776120","13595","377251","6789","1567141","13591","171052","6547","99508","4996","4740","1129","397134","8013"
"0400000US30","Montana","410962","3391","345846","4500","324290","4154","90169","3082","253891","4760","20746","2377","12604","1325","454","255","65116","3231"
"0400000US31","Nebraska","740765","3795","628850","5637","580993","5860","122318","4620","500667","5984","44709","3590","38753","2803","1363","437","111915","4574"
"0400000US32","Nevada","1021519","6553","892982","8653","811407","8910","144481","5234","735290","7783","74335","4569","78249","4374","1722","654","128537","5612"
"0400000US33","New Hampshire","519756","4605","467314","5016","446361","5064","111256","4776","350614","6046","18972","2291","34370","2899","1147","631","52442","3310"
"0400000US34","New Jersey","3194844","10719","2789044","13260","2614536","13804","410586","7258","2360464","12069","155099","6548","209827","6442","6410","1144","405800","8508"
"0400000US35","New Mexico","760916","6897","602178","6902","543947","6736","127166","4482","469463","7586","54828","3278","41845","3066","1655","623","158738","4856"
"0400000US36","New York","7282398","15877","6198282","20690","5771558","20737","1114135","15159","5028784","23650","386646","10141","562121","12870","15753","1812","1084116","16129"
"0400000US37","North Carolina","3790620","14716","3154540","15623","2872445","16053","557618","9968","2575922","16386","262696","8133","208158","7157","4836","1017","636080","12487"
"0400000US38","North Dakota","305431","3533","261853","4153","245649","4218","49707","2627","210513","4207","15145","2029","13696","1641","378","247","43578","2314"
"0400000US39","Ohio","4593172","13994","3838862","17899","3494058","15685","739533","9011","3072946","19416","325575","9240","211797","7588","7670","1098","754310","10753"
"0400000US40","Oklahoma","1459759","5575","1209824","7646","1053053","8626","190809","4481","1007023","8080","143360","4500","109560","3996","3188","685","249935","5450"
"0400000US41","Oregon","1535511","6674","1366459","9116","1273907","9783","258268","6620","1099419","10133","88490","5013","57809","3646","2192","615","169052","6961"
"0400000US42","Pennsylvania","4945972","12878","4101364","17218","3799476","16672","849454","11709","3217738","17896","281601","8337","231317","8354","9689","1403","844608","11767"
"0400000US44","Rhode Island","409654","3327","343940","5000","317493","5795","63387","2975","278433","4968","24337","2916","19039","2029","932","454","65714","3768"
"0400000US45","South Carolina","1826914","10151","1483992","11362","1325735","10784","252305","6647","1219394","12243","146697","6486","135589","6738","3935","897","342922","8749"
