"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_002E","B28001_002M","B28001_003E","B28001_003M","B28001_004E","B28001_004M","B28001_005E","B28001_005M","B28001_006E","B28001_006M","B28001_007E","B28001_007M","B28001_008E","B28001_008M","B28001_009E","B28001_009M","B28001_010E","B28001_010M","B28001_011E","B28001_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Has one or more types of computing devices","Margin of Error!!Total!!Has one or more types of computing devices","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop","Estimate!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Smartphone","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone","Estimate!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer","Estimate!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device","Estimate!!Total!!Has one or more types of computing devices!!Other computer","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer","Estimate!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Margin of Error!!Total!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device","Estimate!!Total!!No Computer","Margin of Error!!Total!!No Computer"
"0400000US01","Alabama","1852518","12189","1554798","12474","1245790","13396","140077","4901","1332295","12784","200264","8061","933535","13579","24300","2446","38564","3559","479","282","297720","6699"
"0400000US02","Alaska","248468","2841","233222","2964","205666","3393","17295","1870","207115","3651","15828","1837","158715","3947","2077","574","16368","2188","20","39","15246","1708"
"0400000US04","Arizona","2519052","11479","2286874","13405","2000315","14908","213281","6251","1966129","14056","179811","6588","1461035","16011","22204","2160","84401","4563","923","344","232178","7587"
"0400000US05","Arkansas","1142718","7341","966212","9499","762565","10547","93487","4639","829256","9691","132421","6293","556371","10626","10970","1474","21541","2167","248","228","176506","6075"
"0400000US06","California","12944178","15703","11929924","20990","10572790","24160","897342","13771","10586777","23128","800534","16170","8058381","30105","103156","4844","463713","10546","3383","781","1014254","13518"
"0400000US08","Colorado","2108992","7767","1974118","9500","1771849","10600","165801","5852","1726683","10503","123465","6262","1288685","12129","15810","1778","59026","3563","636","273","134874","5006"
"0400000US09","Connecticut","1357269","7141","1211810","8606","1081363","10602","120363","4449","1019450","8900","64610","3748","817223","10033","19028","1838","48071","3367","397","250","145459","6243"
"0400000US10","Delaware","351085","3936","318508","4639","272267","5470","29663","2465","270033","5126","23459","2708","210152","4965","4351","1011","8446","1222","234","188","32577","2474"
"0400000US11","District of Columbia","281241","3152","252726","3982","217858","4513","15952","1666","229594","4112","22233","2544","168762","5188","2372","647","6145","1103","46","76","28515","3099"
"0400000US12","Florida","7573456","23478","6826272","27058","5988124","27468","662713","10158","5800434","25754","507340","13702","4359362","28709","83485","4825","266601","9490","1923","606","747184","14731"
"0400000US13","Georgia","3686135","15528","3299116","16923","2809778","19701","251453","7524","2907714","17623","290489","10265","2169431","19777","37278","3612","102419","5423","752","412","387019","9071"
"0400000US15","Hawaii","455868","4824","415144","5061","371581","5515","37627","2441","355896","5919","20361","2126","288379","5565","6008","1169","11594","1525","263","341","40724","3097"
"0400000US16","Idaho","610872","4143","547865","5619","489548","6009","67237","3621","447234","5866","31539","2543","350464","7566","6613","1137","18022","2396","51","78","63007","4108"
"0400000US17","Illinois","4822046","12932","4299310","13642","3737117","16972","385748","7335","3710144","14343","340064","8307","2778538","18371","49570","3164","147677","5815","1175","370","522736","8364"
"0400000US18","Indiana","2533270","10440","2223654","12464","1890310","15315","235567","6635","1854975","13051","196090","7260","1376746","13228","32914","2503","54737","3132","432","222","309616","7589"
"0400000US19","Iowa","1247932","7106","1099081","8029","953147","8482","125622","4136","904383","7903","80556","4373","703352","9302","14123","1664","27334","2328","225","145","148851","4831"
"0400000US20","Kansas","1110407","6778","982827","7977","852835","9140","108437","4703","824975","7522","77883","4482","620109","8831","10230","1189","29119","2444","575","314","127580","4698"
"0400000US21","Kentucky","1717706","9131","1457241","10154","1209594","11373","148813","5614","1215066","9010","141777","6410","924525","11034","26119","2205","43782","3162","759","439","260465","6456"
"0400000US22","Louisiana","1720801","8997","1453678","10037","1159714","12136","117105","5155","1276748","11205","191208","6871","850684","10997","17808","2210","41723","2917","486","284","267123","8585"
"0400000US23","Maine","531660","5774","472143","6397","422580","6711","71317","3636","357700","6475","21873","2395","299112","6678","9181","1528","11856","1886","127","138","59517","3058"
"0400000US24","Maryland","2194657","9484","2013804","12006","1807901","12255","171124","5642","1746857","12282","118222","7419","1382532","13444","19881","2170","89994","4884","463","286","180853","6212"
"0400000US25","Massachusetts","2579398","8290","2340065","11215","2111531","13128","234315","6357","1975646","10629","119952","5989","1564765","13581","30990","2913","71896","3883","1134","457","239333","7067"
"0400000US26","Michigan","3884153","13696","3432208","15626","2935637","15886","355375","7632","2865065","15292","289845","8180","2190785","15618","52633","2834","93982","3950","1313","409","451945","9187"
"0400000US27","Minnesota","2148725","7378","1937141","8466","1735392","9972","204357","5886","1623264","10176","101565","3782","1294922","9917","25798","2145","54300","2998","525","219","211584","5424"
"0400000US28","Mississippi","1091245","8803","895804","10017","687424","10134","68408","4393","790943","9559","143384","7180","504601","9139","10926","1526","34059","3465","48","65","195441","6307"
"0400000US29","Missouri","2372190","10844","2084516","12076","1774287","13121","217451","7363","1758844","12286","191398","6082","1289558","13492","25959","2169","45368","3115","783","392","287674","8050"
