"GEO_ID","NAME","B28001_001E","B28001_001M","B28001_002E","B28001_002M","B28001_003E","B28001_003M","B28001_004E","B28001_004M","B28001_005E","B28001_005M","B28001_006E","B28001_006M","B28001_007E","B28001_007M","B28001_008E","B28001_008M","B28001_009E","B28001_009M","B28001_010E","B28001_010M","B28001_011E","B28001_011M"
"0400000US12","Florida","7689964","22835","7069876","26280","6120553","27381","407281","8937","6364158","29461","580719","13472","4741801","28301","76911","4591","295285","9745","1872","594","620088","13761"
"0400000US13","Georgia","3745074","16431","3403952","16905","2862390","20303","156564","5354","3127580","16021","335022","10477","2332966","21055","33038","2736","94434","5330","531","269","341122","9205"
"0400000US15","Hawaii","458078","4221","418286","5302","363272","5342","23093","2102","380480","5714","32720","3044","295266","5694","3947","1009","8686","1285","88","105","39792","3443"
"0400000US16","Idaho","625135","5980","570853","7172","500317","7506","41914","3950","498715","7808","40428","3222","396423","8146","6305","1256","15661","2086","33","54","54282","3753"
"0400000US17","Illinois","4808672","14430","4344619","16396","3721047","18515","229799","7378","3943847","17256","376734","9766","2982916","18031","46752","3567","131187","5034","1343","457","464053","8814"
"0400000US18","Indiana","2557299","10669","2270634","13337","1896543","15996","152039","6391","2012571","14453","223408","8527","1500753","14995","29310","2716","50023","3659","437","265","286665","7982"
"0400000US19","Iowa","1257505","6773","1125732","8085","965211","8644","85781","3412","982677","8546","93427","4096","759208","8298","15351","1541","22622","1751","542","247","131773","4438"
"0400000US20","Kansas","1128983","6821","1024163","7708","874310","8788","67551","2739","912659","8180","87071","4922","689748","8976","11745","1293","26895","2282","161","139","104820","4156"
"0400000US21","Kentucky","1725034","10346","1489427","11797","1205160","12916","92731","4045","1320476","10617","171308","6747","983770","12783","22102","2089","49004","3068","227","190","235607","6567"
"0400000US22","Louisiana","1737123","11255","1493283","14398","1162506","13386","76148","4650","1365163","13124","223083","8379","907347","14176","18005","2101","38991","3718","402","278","243840","7821"
"0400000US23","Maine","540959","6050","485282","6423","426564","6156","46397","2682","399292","6517","28139","2877","329334","7314","8211","1150","10613","1439","112","100","55677","3455"
"0400000US24","Maryland","2207343","8135","2052299","9130","1826446","11812","107289","5046","1862895","10100","126520","6590","1495655","12982","19601","2143","76882","4719","486","335","155044","6366"
"0400000US25","Massachusetts","2604954","9148","2376264","10558","2114236","11335","146843","6114","2118131","12265","134228","7167","1700915","14486","32341","3091","53232","3736","1091","614","228690","6922"
"0400000US26","Michigan","3930017","12926","3538557","14506","2992586","16536","229810","5352","3124867","14206","323227","8485","2367440","14705","48301","2771","84441","4537","1343","414","391460","8630"
"0400000US27","Minnesota","2162211","7968","1990831","9085","1772825","9941","127662","4917","1771183","9406","118270","5318","1403473","11437","22274","2126","50878","2507","406","237","171380","4928"
"0400000US28","Mississippi","1091980","9693","923381","10073","684732","10296","50875","3877","840533","10090","159804","7861","543511","10938","11682","1959","24718","2618","608","410","168599","5683"
"0400000US29","Missouri","2385135","13054","2138802","14177","1783890","15666","140424","5900","1906866","13869","213442","7093","1414930","16457","25274","2299","46314","3237","660","325","246333","7282"
"0400000US30","Montana","423091","4068","375194","4575","330197","4938","30814","2154","321279","4480","22103","2420","254431","4923","6176","1108","7781","1365","38","67","47897","3134"
"0400000US31","Nebraska","754490","4583","684762","5824","587664","7198","45309","2552","605549","6193","58380","4385","472149","7009","8574","1262","15085","1743","177","155","69728","3291"
"0400000US32","Nevada","1094613","6821","1020906","7570","867957","8801","50645","3130","934475","7943","98785","4871","673274","9445","8184","1541","39744","2674","579","368","73707","4194"
"0400000US33","New Hampshire","528700","4349","495195","5000","451026","5856","38681","2958","427438","5222","21036","2672","354000","5513","6322","1520","15500","2009","288","249","33505","2460"
"0400000US34","New Jersey","3218798","8951","2980450","11006","2641387","13487","163898","5302","2698993","11062","193379","6848","2130848","14196","34482","3098","77571","4588","505","337","238348","6979"
"0400000US35","New Mexico","767705","6614","664555","8672","543260","9258","45532","3130","588568","8284","78577","4291","416831","9786","6678","1135","23569","2086","199","179","103150","5176"
"0400000US36","New York","7304332","18884","6578265","19487","5692529","24047","409659","9199","5870380","20176","510628","14168","4492226","28254","84225","4358","223349","8676","2403","699","726067","12377"
"0400000US37","North Carolina","3955069","14774","3534886","17847","2987251","20014","205486","5826","3178418","18375","342220","10446","2348818","22349","40586","2989","97368","4540","1293","626","420183","10820"
"0400000US38","North Dakota","316306","3300","286401","3816","250142","4086","18493","1735","253529","4160","19854","2377","198774","4643","3295","665","6406","1204","259","255","29905","2111"
"0400000US39","Ohio","4667192","13650","4180305","15665","3504429","17460","280947","6059","3675683","17416","388703","10039","2832033","18183","62806","3519","98760","4760","1153","427","486887","9159"
"0400000US40","Oklahoma","1470364","5913","1311019","5735","1040065","7616","72134","2880","1195722","5791","174662","5664","829273","8067","11509","1296","37218","2345","283","185","159345","4361"
"0400000US41","Oregon","1603635","8695","1493949","9608","1324349","10938","99839","4016","1332619","10417","95656","6008","1008571","11028","12446","1438","35615","2854","623","373","109686","6168"
"0400000US42","Pennsylvania","5008751","12653","4407408","13852","3788871","15808","365298","7931","3794969","15450","344965","9963","2975573","17480","65673","3643","97170","4565","1014","401","601343","10863"
"0400000US44","Rhode Island","408748","4427","366615","5647","317023","6432","23564","2103","325103","5730","24034","2902","263717","5624","5781","1260","10711","2102","194","207","42133","3310"
"0400000US45","South Carolina","1905100","10277","1691251","10679","1386707","12038","92140","4391","1533097","11404","192210","8015","1099662","12850","18916","2325","73844","4782","514","289","213849","6473"
"0400000US46","South Dakota","344260","3147","304154","3750","261630","4306","25921","1903","258247","4322","21399","2373","205618","4233","4952","975","7222","1209","145","119","40106","2247"
"0400000US47","Tennessee","2588655","10916","2262111","13482","1846776","16336","125914","4620","2040186","13466","256898","9388","1510259","16049","27486","2687","92194","5721","729","322","326544","7908"
"0400000US48","Texas","9623874","22217","8834240","26037","7226035","35496","347873","7997","8250920","24483","1065206","19819","5878596","34159","68073","3960","300639","11237","1921","707","789634","13891"
"0400000US49","Utah","975448","5045","931223","5820","853476","5741","32324","2588","866878","6134","44028","4133","710527","6952","5730","1118","28115","2301","131","154","44225","3209"
"0400000US50","Vermont","256629","3631","229673","4067","206477","4262","23940","2181","187164","3905","10662","1358","153919","3718","3491","783","4664","797","34","35","26956","2226"
"0400000US51","Virginia","3120880","13665","2863813","14924","2506242","18583","152225","6433","2601869","15307","213504","8654","2039021","19984","25182","2040","97596","5030","474","285","257067","6447"
"0400000US53","Washington","2840377","11168","2676025","13030","2401180","15484","144884","5623","2428543","14606","156332","6800","1904851","13784","22563","2632","80383","5545","297","228","164352","7560"
"0400000US54","West Virginia","715308","7000","605273","8501","485517","9675","58117","3350","498696","8800","64835","4257","380878","7870","16003","2034","14223","1838","197","209","110035","5194"
"0400000US55","Wisconsin","2350293","7563","2103377","9866","1822499","10936","158374","4802","1828616","10834","158260","5528","1421900","11452","28192","2332","55705","3141","823","265","246916","5863"
"0400000US56","Wyoming","225796","3968","207149","4697","180560","4438","14597","1974","181658","4507","14325","2134","140697","4655","3340","949","4318","1062","0","201","18647","2260"
"0400000US72","Puerto Rico","1191305","10722","823890","11629","525045","11334","53512","3451","734960","11107","220347","8425","367405","8938","17735","2273","17852","2763","205","206","367415","8409"
